filename,language,text,duration
0.txt,cs,"Dědo, no tak!",0
1.txt,cs,"Už jdu, Hanko!",0
2.txt,cs,"Říkal jsi, že mě budeš sledovat. Ale nejsi!",0
3.txt,cs,"Kdybych jen mohl",0
4.txt,cs,"Ale dědo, ještě nejsi tak starý.",0
5.txt,cs,"No tak, dědo, nechci o nic přijít!",0
6.txt,cs,"Vezmeš mě do hrobu!",0
7.txt,cs,"Bolí mě celé tělo!",0
8.txt,cs,"Sedni si na chvíli!",0
9.txt,cs,"Dědo, slyším lidi říkat jméno Ježíš",0
10.txt,cs,"a Mesiáš",0
11.txt,cs,"a Spasitele světa.",0
12.txt,cs,"Ale dědo, nevidím ho. No tak!",0
13.txt,cs,"Psst, Hanko! Ne tak nahlas! Opatrně, je to nebezpečné!",0
14.txt,cs,"Dědo, já se nebojím. Za mnou! Za mnou!",0
15.txt,cs,"Ananiasi! Zdravím, Ananiasi! Kam jdeš?",0
16.txt,cs,"Městská brána, Marto.",0
17.txt,cs,"Městská brána?",0
18.txt,cs,"Ano, je tam deacon Stephen, mluví o Ježíši Nazaretském.",0
19.txt,cs,"Kdo je ten Stephen?",0
20.txt,cs,"Je velmi moudrý a plný soucitu.",0
21.txt,cs,"Vysvětluje Ježíšovo učení a je mezi lidmi opravdu populární.",0
22.txt,cs,"Mluví o Ježíšových defektech a stále více lidí je pokřtěno.",0
23.txt,cs,"Farizeové se ho bojí a nenávidí ho.",0
24.txt,cs,"Několikrát se ho snažili zatknout.",0
25.txt,cs,"Mluví o Ježíši?",0
26.txt,cs,"Marto, psst!",0
27.txt,cs,"Jdu s tebou!",0
28.txt,cs,"Chci ho vidět a poslouchat.",0
29.txt,cs,"Pověz nám víc o Ježíši",0
30.txt,cs,"Ano, mluv dál",0
31.txt,cs,"Řekni nám víc!",0
32.txt,cs,"Ježíš nebyl jen prorok, ne, zemřel pro nás.",0
33.txt,cs,"Obětoval se na kříži.",0
34.txt,cs,"Vede nás do nové budoucnosti",0
35.txt,cs,"Věř mi!",0
36.txt,cs,"Byl to náš Spasitel.",0
37.txt,cs,"Náš Mesiáš, jak je uvedeno v Písmu svatém.",0
38.txt,cs,"Zavede nás do Božího království",0
39.txt,cs,"Nic než lži!",0
40.txt,cs,"Ježíš Nazaretský pomlouval Boha a mluvil proti Mojžíšovi a našim hlavním kněžím!",0
41.txt,cs,"Přestaň lhát!",0
42.txt,cs,"Ale, Hanko!",0
43.txt,cs,"Ano, má pravdu. Řekni nám víc, Stephene!",0
44.txt,cs,"Byl někdy prorok, kterého vaši předkové nepronásledovali?",0
45.txt,cs,"Dokonce zabili ty, kteří předpověděli příchod spravedlivého.",0
46.txt,cs,"A teď jste ho zradil a zavraždil.",0
47.txt,cs,"Vy, kteří jste obdrželi zákon, který byl dán skrze anděly, ale neposlechli jste ho.",0
48.txt,cs,"Co znamená ten hluk?",0
49.txt,cs,"Jdeme. Saule, je to dlouhá cesta.",0
50.txt,cs,"Čekají na nás v Damašku.",0
51.txt,cs,"Víš, že velekněz je netrpělivý.",0
52.txt,cs,"Drž hubu a drž mi koně!",0
53.txt,cs,"Proč jste se tu sešli před městskou branou?",0
54.txt,cs,"Darebák mladý Stephen mluví o Ježíšových Deeds.",0
55.txt,cs,"Je také stoupencem Nazarejců?",0
56.txt,cs,"Myslím, že ano.",0
57.txt,cs,"Podívej, vidím nebe otevřené a Syna člověka stojícího po pravici Boží.",0
58.txt,cs,"Tento člověk nikdy nepřestane mluvit proti tomuto svatému místu a proti zákonu.",0
59.txt,cs,"Neboť jsme ho slyšeli říkat:",0
60.txt,cs,"Tento Ježíš z Nazaretu zničí toto místo a změní zvyky, které nám Mojžíš předal.",0
61.txt,cs,"Ukážeme všem těmto následovníkům naši krutost.",0
